Customer_ID,Booking_Frequency,Avg_Spending,Preferred_Service,Review_Text,Last_Activity
0,2,144,Nail Care,Great experience.,2024-01-25
1,18,216,Massage,Best home service ever.,2024-02-27
2,3,139,Massage,Great experience.,2024-01-19
3,4,110,Nail Care,Very convenient.,2024-01-23
4,1,134,Yoga Session,Liked the service.,2024-02-27
5,10,289,Wellness Package,Absolutely incredible service!,2024-02-29
6,1,181,Nail Care,Easy to book.,2024-02-28
7,19,394,Massage,Highly recommend the wellness package.,2024-02-27
8,3,84,Massage,Very convenient.,2024-01-10
9,2,127,Facial,Good value for money.,2024-01-14
10,18,273,Wellness Package,Best home service ever.,2024-02-28
11,8,228,Wellness Package,Best home service ever.,2024-02-21
12,2,70,Facial,The pro was late.,2023-12-17
13,1,174,Wellness Package,"First time trying, was okay.",2024-03-01
14,2,84,Nail Care,Not worth the price.,2023-12-23
15,5,105,Nail Care,Good value for money.,2024-01-17
16,2,106,Facial,Good value for money.,2024-01-25
17,13,432,Wellness Package,Absolutely incredible service!,2024-02-20
18,5,138,Facial,Great experience.,2024-02-08
19,1,131,Facial,Easy to book.,2024-02-27
20,14,306,Massage,Absolutely incredible service!,2024-02-26
21,10,479,Massage,Best home service ever.,2024-02-27
22,1,193,Massage,Easy to book.,2024-03-01
23,1,121,Wellness Package,Liked the service.,2024-02-26
24,2,86,Nail Care,The pro was late.,2023-12-11
25,4,120,Massage,Very convenient.,2024-01-27
26,1,196,Yoga Session,Easy to book.,2024-02-27
27,1,112,Facial,Easy to book.,2024-02-29
28,14,344,Massage,Best home service ever.,2024-03-01
29,15,487,Wellness Package,Absolutely incredible service!,2024-02-29
30,1,75,Facial,Easy to book.,2024-03-01
31,1,59,Facial,Not worth the price.,2023-12-28
32,4,123,Facial,Good value for money.,2024-01-23
33,2,70,Facial,Not worth the price.,2023-12-11
34,16,356,Wellness Package,Best home service ever.,2024-02-23
35,12,291,Massage,Highly recommend the wellness package.,2024-02-28
36,3,103,Nail Care,Good value for money.,2024-01-06
37,2,74,Facial,Too expensive for what it is.,2023-12-31
38,1,178,Wellness Package,"First time trying, was okay.",2024-02-26
39,2,92,Nail Care,The pro was late.,2023-12-08
40,1,74,Facial,Not worth the price.,2023-12-13
41,2,122,Facial,Great experience.,2024-01-12
42,1,169,Facial,"First time trying, was okay.",2024-02-29
43,1,76,Facial,Too expensive for what it is.,2023-12-04
44,10,233,Wellness Package,Absolutely incredible service!,2024-02-19
45,12,381,Massage,Best home service ever.,2024-02-25
46,1,85,Facial,The pro was late.,2023-12-12
47,18,223,Massage,Highly recommend the wellness package.,2024-02-29
48,2,84,Facial,Not worth the price.,2023-12-09
49,17,425,Massage,Best home service ever.,2024-02-16
50,1,192,Yoga Session,Easy to book.,2024-02-29
51,11,478,Massage,Highly recommend the wellness package.,2024-02-25
52,18,468,Massage,Highly recommend the wellness package.,2024-02-17
53,16,388,Massage,Best home service ever.,2024-02-20
54,8,373,Wellness Package,Best home service ever.,2024-03-01
55,1,56,Nail Care,Too expensive for what it is.,2023-12-25
56,16,309,Massage,Best home service ever.,2024-02-20
57,1,199,Wellness Package,Liked the service.,2024-02-29
58,5,105,Nail Care,Very convenient.,2024-01-05
59,1,76,Yoga Session,Liked the service.,2024-02-27
60,11,280,Wellness Package,Highly recommend the wellness package.,2024-02-19
61,3,105,Massage,Good value for money.,2024-01-23
62,1,78,Nail Care,The pro was late.,2023-12-29
63,4,111,Nail Care,Very convenient.,2024-01-15
64,1,77,Nail Care,Too expensive for what it is.,2023-12-14
65,1,130,Yoga Session,Easy to book.,2024-02-28
66,4,119,Nail Care,Very convenient.,2024-02-11
67,1,79,Nail Care,"First time trying, was okay.",2024-02-26
68,1,140,Nail Care,Liked the service.,2024-03-01
69,1,72,Nail Care,Too expensive for what it is.,2024-01-01
70,1,154,Massage,"First time trying, was okay.",2024-02-27
71,14,219,Massage,Absolutely incredible service!,2024-02-19
72,1,73,Facial,The pro was late.,2023-12-08
73,1,84,Yoga Session,Easy to book.,2024-02-26
74,1,75,Facial,"First time trying, was okay.",2024-02-29
75,5,138,Nail Care,Great experience.,2024-01-22
76,1,52,Nail Care,The pro was late.,2023-12-25
77,1,97,Nail Care,The pro was late.,2023-12-04
78,1,128,Facial,Easy to book.,2024-02-26
79,1,64,Nail Care,Too expensive for what it is.,2023-12-05
80,2,50,Nail Care,The pro was late.,2023-12-24
81,1,158,Massage,Easy to book.,2024-02-29
82,16,286,Wellness Package,Highly recommend the wellness package.,2024-03-01
83,10,425,Massage,Highly recommend the wellness package.,2024-02-25
84,3,137,Massage,Great experience.,2024-02-02
85,1,79,Wellness Package,"First time trying, was okay.",2024-03-01
86,2,52,Facial,Too expensive for what it is.,2023-12-19
87,8,237,Wellness Package,Absolutely incredible service!,2024-02-25
88,8,301,Massage,Best home service ever.,2024-02-20
89,1,61,Nail Care,The pro was late.,2023-12-06
90,13,266,Wellness Package,Best home service ever.,2024-03-01
91,2,60,Facial,Not worth the price.,2023-12-17
92,15,401,Massage,Highly recommend the wellness package.,2024-02-22
93,3,120,Nail Care,Very convenient.,2024-02-10
94,3,116,Facial,Great experience.,2024-01-29
95,2,77,Facial,Too expensive for what it is.,2023-12-21
96,1,76,Facial,The pro was late.,2023-12-16
97,1,135,Yoga Session,Easy to book.,2024-02-29
98,1,98,Nail Care,Easy to book.,2024-02-28
99,11,256,Massage,Best home service ever.,2024-02-26
100,5,120,Facial,Very convenient.,2024-02-02
101,2,92,Facial,The pro was late.,2023-12-30
102,1,184,Yoga Session,Liked the service.,2024-02-29
103,5,133,Facial,Great experience.,2024-01-26
104,1,184,Yoga Session,"First time trying, was okay.",2024-02-28
105,1,123,Nail Care,"First time trying, was okay.",2024-03-01
106,1,104,Massage,Easy to book.,2024-02-28
107,16,496,Massage,Absolutely incredible service!,2024-02-26
108,3,90,Massage,Very convenient.,2024-01-17
109,2,68,Facial,Too expensive for what it is.,2023-12-22
110,1,74,Facial,Not worth the price.,2023-12-25
111,1,148,Nail Care,"First time trying, was okay.",2024-03-01
112,18,273,Wellness Package,Absolutely incredible service!,2024-02-19
113,2,93,Nail Care,Very convenient.,2024-02-08
114,3,89,Facial,Very convenient.,2024-01-20
115,1,93,Massage,Liked the service.,2024-02-26
116,4,145,Massage,Great experience.,2024-01-30
117,4,113,Massage,Very convenient.,2024-01-08
118,16,301,Wellness Package,Best home service ever.,2024-03-01
119,1,106,Nail Care,Easy to book.,2024-02-29
120,16,234,Massage,Highly recommend the wellness package.,2024-02-25
121,2,88,Facial,The pro was late.,2023-12-31
122,14,222,Massage,Best home service ever.,2024-02-18
123,2,110,Massage,Good value for money.,2024-01-16
124,14,324,Massage,Best home service ever.,2024-02-23
125,14,241,Wellness Package,Absolutely incredible service!,2024-02-29
126,5,130,Massage,Very convenient.,2024-01-27
127,11,453,Wellness Package,Absolutely incredible service!,2024-02-21
128,2,109,Facial,Very convenient.,2024-01-02
129,2,65,Facial,Not worth the price.,2023-12-23
130,9,314,Massage,Highly recommend the wellness package.,2024-02-26
131,1,113,Massage,Liked the service.,2024-02-28
132,1,94,Nail Care,Not worth the price.,2023-12-09
133,2,68,Facial,Not worth the price.,2023-12-31
134,1,176,Massage,"First time trying, was okay.",2024-02-26
135,11,331,Massage,Best home service ever.,2024-02-29
136,1,58,Nail Care,Not worth the price.,2023-12-29
137,9,304,Massage,Highly recommend the wellness package.,2024-02-17
138,2,139,Facial,Good value for money.,2024-01-16
139,10,264,Massage,Absolutely incredible service!,2024-02-29
140,2,93,Facial,Not worth the price.,2023-12-03
141,11,281,Wellness Package,Best home service ever.,2024-02-27
142,11,427,Wellness Package,Absolutely incredible service!,2024-02-23
143,1,88,Facial,Too expensive for what it is.,2023-12-10
144,17,289,Wellness Package,Highly recommend the wellness package.,2024-02-20
145,1,190,Yoga Session,Easy to book.,2024-02-29
146,12,464,Massage,Absolutely incredible service!,2024-02-21
147,5,83,Massage,Great experience.,2024-01-29
148,14,221,Massage,Absolutely incredible service!,2024-02-20
149,2,61,Facial,Too expensive for what it is.,2023-12-03
150,2,111,Nail Care,Good value for money.,2024-01-03
151,2,52,Facial,Not worth the price.,2023-12-28
152,3,130,Facial,Good value for money.,2024-02-06
153,2,78,Facial,Too expensive for what it is.,2023-12-16
154,2,73,Facial,Too expensive for what it is.,2023-12-13
155,12,227,Massage,Best home service ever.,2024-03-01
156,2,71,Nail Care,The pro was late.,2023-12-29
157,18,494,Wellness Package,Best home service ever.,2024-02-18
158,19,246,Massage,Absolutely incredible service!,2024-03-01
159,1,165,Facial,"First time trying, was okay.",2024-02-28
160,2,140,Massage,Very convenient.,2024-02-08
161,1,125,Yoga Session,Liked the service.,2024-02-29
162,10,352,Massage,Absolutely incredible service!,2024-02-17
163,5,125,Massage,Great experience.,2024-01-23
164,15,489,Wellness Package,Best home service ever.,2024-02-16
165,1,82,Facial,The pro was late.,2023-12-26
166,11,230,Massage,Absolutely incredible service!,2024-02-28
167,8,471,Wellness Package,Best home service ever.,2024-02-21
168,1,109,Yoga Session,Liked the service.,2024-03-01
169,15,317,Wellness Package,Highly recommend the wellness package.,2024-02-29
170,8,488,Wellness Package,Highly recommend the wellness package.,2024-02-16
171,19,366,Massage,Best home service ever.,2024-02-25
172,1,72,Nail Care,Not worth the price.,2023-12-22
173,1,84,Nail Care,Too expensive for what it is.,2023-12-26
174,4,122,Nail Care,Great experience.,2024-01-02
175,3,91,Massage,Very convenient.,2024-02-13
176,2,54,Nail Care,Not worth the price.,2024-01-01
